@relation I__fullcorpus_sentence_coae2014

@attribute text string
@attribute @@class@@ {0,1}

@data
'原来 这 就是 个 购物 团 啊 ， 打着 石林 的 幌子 骗 我们 来看 翡翠 ， 坑爹 啊 ， 五十分钟 之内 还 不能 出去 ， 这 翡翠 的 成色 也 是 好 的 不好 赖 的 不赖 ， 还 死 贵 ， 稍微 看上眼 就是 几十万',0
'真受不了 大街 上 那些 卖 保险 的 … 怎',0
'现在 的 某些 保险公司 的 理赔 速度 真是 让 人 受不了 ， 4 月份 交上去 的 ， 现在 还 没 下来 ， 每次 催单 都 是 同样 理由 ， 脸皮',0
'心痛 … … 手机 都 买不到 两个 月 就 烂 了 ， 以后 都 不用 三星',0
'现在 的 保险公司 可 真够 烦人 的 ， 十几年 前 和 他们 打 过 一次 交道 就 没完没了 的 缠 上 你 ， 你 说 你 已 不想 做 了 ， 他 说 要 回报 老客户 ， 你 说 没 时间 ， 过 几天 又 来 电话 了 ， 每次 都 是 老一套 。 今天 我 也 没 客气 ， 说 你们 有没有 新鲜 的 ， 我 不要 你 回报 ，',0
'我 觉得 保险 利用 好 了 应该 是 个 好 东西 , 只是 行业 人员素质 悬殊 ， 而且 普遍 偏差 , 让 大家 领略 不到',0
'人家 这 人寿 的 广告 ， 感动 ， 让 你 知道 保险 的 意义 ， 咱国 的 保险 广告',0
'其实 他 说 的 是 实话 。 那些 所谓 的 养老保险 ， 失业 保险 根本就是 变相 的 税收',0
'等 你 弄 好 了 在 去 的 时候 ， 他们 又 说 这个 签字 不符 你 要 叫 被 保人 和 投保人 一 起来 ！ 非 把 你 支持 晕 了 算 ！ 最后 财务人员 还 骂 你 混蛋 ！',0
'天平 保险 的 真 执着 ， 我 的 车险 三月底 才 到期 ， 他 从 一月 开始 每隔 一周 就 打 一次 电话 让 我 续保 。 你 越是 催 我 ， 我 就 越 不 买 ， 大不了 我换 保险',0
'真受不了 保险公司 的 ！ 他们 比 房产 中介 高明 点 ， 不会 上来 就 叫姐 ， 而是 干脆 啥 都 不 叫 ， 直接 说事 ， 什么 明天 给 你 送 什么 什么 东西 之类 的 ， 好像 你 多年 且 恨不得 三天两头 相见 的 老友 一样 ， 寒暄 都 不必 ！',0
'巴拉 巴拉巴',0
'保险 保险 ！ 保 你 妹去 吧 ， 别 他 妈',0
'我 不得不 说 三星 售后 维修 真 TMD 恶心 ！ 帮 我 刷机 没刷 好 而已 ！ 在 修 变成 侧键 失灵 ！ 之后 修成 开机 键 失灵 ， 然后 再 到 电源 出 问题 ！ 最后 变成 主板 芯片 破损 ！ 你 这 是 修 手机 呢 ！ 还是 准备 把 我 的 手机 直接 报废 呢 ！ 想 投诉 ！ 网上 一看 ！ 三星 售后 投诉无门 啊   ！ 这',0
'不 喜欢 卖 保险 的 ， 不仅 忽悠 人买',0
'小 保险公司   有 的 时候 保费 低点 ~ ~ 但是 定损  ',0
'保险 理赔 很难',0
'又 花 了 2200 给 车上 保险 ， 去年 居然 没 出过 险 还给 我 涨价 ， 说 是 我 去年 上 保险 后 用 前年 的 单子 修 划痕 ，',0
'操 ！ 让 傻 逼 卖 保险 的 电话 给 吵醒 了 ，',0
'麻痹 的 ！ 以后 再也 不买 三星 了 ！ 莫名其妙 地开 不 开机 了 ！ 上网 一查 才 知道 原来 这 TM 是 这款 机子 的 通病 ！ 倒霉 催 的 ！ 我 也 中招 了 ！ 而且 我 的 快递 也 不到 ！ 都 怪 这破手',0
'养老保险 就是 赤裸裸 的 抢钱 。 现在 我缴 养老保险 养 别人 的 父母 ， 我 自己 父母 因为 因为 是 农村 人 一分 也 领 不到 ， 而 等 我 自己 老 的 时候 估计',0
'大名鼎鼎 的 深圳发展银行 发来 短信 通知 ， 该 银行 即将 更名 为 平安 银行 。 哎 ， “ 深发展 ” 多好 记 ， # 只想 和 你 深发展 # 。 最 讨厌 什么 平安 呐 ， 太平 呐 ， 太平洋 呐 ， 那些 保险公司 都 没分 清楚 过 ， 现在 又 冒 出个 银行 ， 光大 是 不行 的 ， 光嘴 上',0
'他妈的 简历 上 都 写 了 保险 , 金融 , 教育 公司 勿扰 了 还 打电话 , 不是 找 骂 吗 ? 被 平安',0
'现在 电话 销售 保险 的 太 猖狂 了 ， 打 了 第一次 说 不 买 了 ， 还给 我来 第二次 ， 我 说 我 上次 都 说 了 不 买 了 ， 对方 说 ， 我们 只是 做 回访 ， 然后 说 着 说 着 就 说 到 自动 扣钱 ， 好 吧 。 。 。 怒 了 我 ， 直接 投诉 到 交通银行 ， 再 骚扰 我',0
'保险行业 黑',0
'最近 这 2 天 的 温度 倒 是 让 我 感觉 到 了 冬天 ， 好 冷 ， ！   他 NND 三星 手机 昨晚 居然 自动关机 ！ 还好 有 闹钟 在 ， 要 不 就 迟',0
'md ， 手机 拍出 的 照片 明明 好好 的 在 三星 的 鬼 屏幕 上 看 都 tm 糊成 一团 ， 什么样 的 稀烂 显示 技术 才 有 这样 的 神力 ！ ！ ！ 还 什么 super   hd  ',0
'别人 都 他妈的 看 流星雨 的 。 看电视 的 。 嗨 到 不行 ， 我 只能 对 着 这个 破 手机 发呆 ， 头大 。 尼玛 ， 以后 我 在 也 不 买 三星 的 破 手机 了 ， 维修 人员 还 很 有理 的 说 ， 很多 问题 都 是 像 你 这样 的 ，   像 你 妹 啊 ， 无',0
'“ 撤退 侨民 的 果断 行动 带来 的 赞誉 并 不能 掩盖 中国 企业 一败涂地 亏损 的 窘境 。 保险 覆盖率 低 在 媒体 口中 是 国企 缺乏 风险管理 意识 的 明证 ， 但 这 也 仅仅 是 表面现象 。 更值',0
'前 几天 买 了 个 三星 i929 手机 、 买 了 回家 第一天 就 有点 后悔 、 觉得 屏幕 分辨率 有点 低 、 且 网上 的 价格比 店里 要 便宜 一千多块 ， 第二天 回到 店里 找 店员 沟通 想 换成 iPHONE   ， 店员 和 他们 领导 沟通 不 同意 ， 我 只有 祈祷 这 手机 在 7 天内 出现 故障 ， 果然 第四天 就 出现 问题 了 最后 成功 退换 。 运气 好 啊 ！ 店员',0
'一上午 收到 各种 保险 推销 ， 尤以 信 银行 用心 奉献   这个 恶劣 ！ 我 这个 手机 未办 过 中信 任何 业务 ， 仅仅 是 上周 在 重庆 好吃 街 中信银行 买过 一张 国 驻华 大使馆   签证 服务 电话卡 被 要求 登记 手机号 ， 原来 他们 就是 为 推销 银行 产品 用 的 ，   英豪',0
'刚看 了 央视 的 每周 质量 报告 ： 车辆 因 暴雨 发动机 进水 不 负责 理赔 ， 保险公司 都 是 吃屎 长大 的 ！ 一到 要 上 保险 时候 一个个 跟 孙子 似的 天天 打电话 骚扰 车主 ， 到 用到 你们 的 时候 了 一个个 跟 缩头乌龟 似的 ！ 中国 的 保险 就 这点 气节 ！ 你们 也 配 叫 爹 生娘养',0
'学校 的 信号 干扰器 ， 你 拆 不 拆 ， 我家 离 你 五百米 你 都 凑热闹 。 苹果 手机 ， 你 信号 能 给 力些 吗 ？ 你 要 知道 我 是 抛弃 三星 盖 三 选择',0
'中国 的 保险 真是 骗人 的 东西 ， 投保 3 年 ， 账户 金额 还 不到',0
'肯定 要 转',0
'保险公司 就是 一 占便宜 没够 ， 吃亏 难受 的 玩意儿 。 高管 还 拿 着 上千',0
'如果 要是 国产 的 我 还是 不 建议 你 买 的 ， 魅族 的 参数 虽然 很 高 。 但是 魅族 的 机子 的 发烫 现在 极其 的 严重 ！ 如果 要是 小米 ！ 那 就 更 不用说 了 。 论 参数 那 绝对 的 牛 B   但是 要论 别的 来说 ， 我 还是 不 建议 你 考虑 小米 的 ， 小米 的 手机 从 出来 的 那一刻 就 没有 售后 ， 所以 理所当然 了 ！ 你 要 2000 元 以下 的 ， 三星 ，',0
'小米 真是 让 人 失望 ， 买个 手机 给 打仗 是 的 ， 现在 只有 放弃 ， 选择',0
'我 真心 觉得 苹果 地图 恶心 ！ 害 我 在 泰国 走 了 好多 弯路 ！ 伤心 ！ 隔壁 的 妞用 三星 ， 愣',0
保,0
'刚买 完 pad ， 手机 就 掉 马桶 里 了 。 想换个 大屏幕 的 ， 可以 显脸 小 。 但是 不 喜欢 三星 ， 不 喜欢 htc ， 不 感冒 水果 的 手机 。 想 买 谷歌 的 ， 但是 不会 用 淘宝 。 次奥 ， 安',0
'坑爹 啊 ！ 咒诅 这种 保险公司 的 广告 ， 以',0
'我 最最 最最 讨厌 保险公司 的 这种',0
'三星 手机 的 趋势 一目了然 。 。 。 我 那么 小 的 破 手机 真是 太太 自卑 了 有 木有 ！ ！ oey _',0
'小 房东 这才 转成 保险 业务员 没 几天 ， 就 开始 拿 我 练手 ， 开始 给 我 推销 保险 了 ， 真 TMD 烦人 ， 又 添 了 件 麻烦事',0
'原来 保险 都 是 骗人 的 。 各',0
'最近 总是 接到 保险公司 的 电话 真的 是 太烦人 了 ， 挂 了 还 三番五次 的',0
'养老保险 也 是 个 庞氏 骗局 ，',0
保,0
'卖 保险 的 能 不 这',0
'手机 坏 了 。 真心 伤心 啊 、 用 了 没有 半年 就 这么 费 了 ！ 以',0
'主力 又 挖坑 埋入 了 （ 空头 陷阱 ） ， 保险 股 就是 混蛋 ， 以后 大家 都 别 买 保险 了 ， 尤其 中国 平安 （ 6013',0
'什么 烂 手机 ， 就 从 手上 掉 地上 手机 就 没用 ， 这 什么 质量 。 也 太差 了 吧 。 什么 卓然 天成 ， 为 你 而生 。 一派胡言 。 三星 维修部 挤满 了 维修 这 手机 的 人 ， amsungApps 官方 微博   你 不 觉得 要 给 我们 个 说法',0
'没想到 还有 这么 不 讲 公德 的 人 啊 ， 也 难',0
'哎 ， 真的 忍不住 吐槽 苹果 了 ， 在 iphone   专卖店 里 竟然 出售 三星 的 手机 ， 在 iPhone5 首发 那天 店门口 竟然 连 一个 人 都 没有 。 苹果公司 要是 再 不想 点 新创意 ， 那么 乔帮主 一手 建立 起 的 苹果',0
'60 手机 卫士   强 ！ ！ ！ 1000 多个 标记 - 广告 推销 ！ 本来 不 打算 接 的 ， 好奇 是 推销 什么 的 ！ 结果 是 某某 保险公司 的 ！ 气愤 ！ ！ 于是 我 也 标记 了 一下 ！   我 在 : http : / / t . c',0
'躺 在 床上 看微博 ， 手机 没 拿稳 ， 直接 打 在 脸上 ， 痛惨 了 。 这 就是 大 手机 的 缺',0
'还 能 更 坑 爹点 么 ， 三星 你 就 做做 20',0
'怎么办 ， 姐姐 我 自己 保险 都 不 做 ， 为什么 缠',0
'一个 老龄化 社会 这个 比例 真 可悲 。 形式 上 男女平等 ， 城镇 巨额 房贷 ， 养老保险 缺失 的 结果 。 日本 女性 就业率 拉低 。 中国 孩子 不好 养 ， 城市 房价 收入 比过 高 ， 生活 没有 医疗保障 ， 造成 很多 双职工 家庭',0
'唉 ， 这 友邦保险',0
'福 人寿   好像 现在 市面上 只有 一家 保险公司 一样 ， 而且 服务态度 其差 ！ 强烈要求 大家 千万 不要 买 这家 的 保险 ， 要求',0
'医疗保险 以及 唯利是图 的 黑心 医院 ， 还有 那些 精英 当政 医疗机构 带领 给 老百姓 的 就是 全民 健身 ， 大家 都 积极 的 锻炼身体 。 因为 大家 都',0
'老公 买 了 个 不菲 的 镯子 给 我 ， 不 担心 是 假货 ， 但 担心 买贵',0
'意 人寿   再 不许 给 我 打电话 推销 保险 ！ 你们 再 骚扰 我 小心',0
'提醒 三星 i9300 用户 ， 最好 弄 一个 既能护 前边 又 能护 后面 的 手机 壳 ， 因为 它 真的 不巾 摔 ， 屏级 容易 坏 ， 除非 你 的 手机 永远 别掉 在 地上 ！ 今天 坐 公交车 ， 被 别人 撞 到手 ， 手机 掉 在 地上 ， 旁边 屏 就 坏 了 ， 郁闷死 了 ！',0
'中国移动 订制 手机 三星 I9008   真他妈 扯淡 ！ ！ ！ 三星 去死吧 ， 中国移动',0
'我 现在 挺 讨厌 平安保险 ， 尤其 是 办 了 电话 保险',0
'中国 目前 的 养老保险 缴费 制度 确实 欺骗 了 绝大多数 的 人 , 企业 个人 的 负担 不',0
'这 两天 三星 的 手机 老 抽风 , 这 莫不是 逼 着 我 买 新 机子 ? ! 可 这',0
'三星 手机 都 不能 关 快门 声音 的 啊 ！ 肿 么 可以 这样 ， 受不了 啊 ！ 关键 你 不能 关 你 轻点 呐 ， 咔嚓 咔嚓 的 ， 真是 生怕',0
'我姐 被 保险公司 洗脑 了 ， 从 昨天 一直 推销 到 现在 ， 欲哭无泪 … … 看来 我 不 买 她 不会 罢休 。 今天 生日 她 一直 说 意外 啊 大',0
'昨晚 ， 第一次 雨雪 天气 出 事故 ， 六年 的 恶劣 天气 无事故 记录 被 终结 ， 关键 是 ， 走 保险 比 他 妈 撞车 还 烦人 ， 撞车 只要 一秒 ， 走 保险',0
'漫长 的 一周 。 真 可谓 鸡飞狗跳 。 搞 得 我 夜夜 噩梦 。 神经衰弱 。 这破 人情 总算 完事 了 ！ 以后 谁 要 在 和 我 提 保险 ， 我 就 和 谁 绝交 。 卖 保险 的 都 是 狗皮膏药 ，',0
'温州 数码城 买 的 三星 i92200 （ 水货 ） ， 第一次 笔试 坏 的 ， 在 我 的 强烈要求 下换 了 ， 给 我 第二次 手机 有 病毒 ， 问 店家 说 是 查 毒软件 的 问题 ， 给 我 刷 了 下机 ， 今天 早上 起来 发现 手机 开 不 起来 没 电 ， 但是 一会儿 又 自动 开 起来 了 ， 为了 这破 手机 不 知道 跑 了 多少 趟 ， 我 很 想 知道 数码城 都 这样 做生意 的 吗 ，',0
'都 会 人寿 中国   保险公司 最 欠缺 的 就是 服务 意识 ， 缺少 信任感 ， 与 员工',0
'02195512 骚扰电话 ， 中国 平安 ， 推销 什么 保险 。 恬不知耻 ， 无休无止 ！ 你 大爷 的 ！ 下次 再 来 电话 直接 骂战 。 见过 无耻 的',0
'我 觉得 吧 ， 可能 是 我 真的 干不了 这个 行业 ， 保险',0
'这辈子 都 不 买 平安 的 车险 了 ！ 怒火中烧 ！ 三台 车 同时 报 保险 ， 中华 10 分钟 就 到 ， 人保 15 分钟 ！ 平安保险 现在 已经 40 分钟 了 ， 人 还 没 过来 ！ 下 着 大雨 ， 在 路边 等待 的 滋味 ！ 气',0
'保险 从',0
'中国 地大物博 ， 人好 不老少 。 这 养老保险 何时能 利索 了 。 真是 不好 说 ！ ！ , 我要 社保 网   http : / / t . cn / SLoUev   （ 分享',0
'江郎才尽 ， 说 保险 的 事情 了 ！ 保险产品 不让 人 讨厌 ， 让 讨厌 是',0
'中国 平安保险 ！ 我 求求 你们 别 给 我 打电话 了 ， 我 真 不 买 你们 的 保险 。   我 好 说 、 歹说 、 投诉 都 没 效果 ， 只好 求 你们 放 我 一马 了 ， 摆脱 ！ 大家 都 是 做服',0
'搞不懂 三星 粉 啊 ， 不能 塞进 裤子 口袋',0
'尼玛   手机 又 成 板块 机',0
'极品 翡翠 的 绿 又 高贵 又 明艳 … 可是 尼玛 都 是 天价 … 真 不 懂 翡翠 为什么 这么 贵 ， 没 几千 别想 买 稍微 看的上眼',0
'一直 很 佩服 为什么 有 那么 多人 fan 三星 的 手机 。 。   这 屏幕',0
'现在 的 htc 手机 已经 不行 了 ， 系统 更新 比起 三星 等 手机 产商 真的 很 慢 。 同时 手机 使用 内置 电池 的 形式 可以 使到 手机 可以 做 的 更 薄 ， 可是 体验 体验 上会 大受 影响 ， 特别 是 电池 出 问题 后',0
'窝 再也 不 在 洗澡 的 时候 刷 微薄 了 ! ! ! 尼玛 手机 掉 水里 了 啊 T ^ T 还好 没坏 ← _ ←',0
'MB , 老子 以后 再也 不买 三星 手',0
'但是 他 说 的 是 真话 ， 社保 就是 个 庞氏 骗局 ， 保险 什么 都 是 ， 到时候 你 货币贬值 ， 使 其 负担 接',0
'麻痹 , 手机 又 出 问题 了 , 一 晚上 没动 它 , 早上 看 手机 发现 开 不了 机 , 换 电池 也 开 不了 机 , 连 电脑 也 开 不了 机 , 结果 问度娘 , 都 说 是 CPU 烧 了 , 维修 得 1000 大洋 阿 , 这 是 个 莫比 机子 阿 , 用 得 真叫人 蛋疼 不已 阿 , 三星 的 机子 真是 差 阿',0
'ichelle 牟雪 : 可惜 三星 电池 不好 ， 声音 不够 大 ， 你 和 我面',0
'╮ ( ╯ ▽ ╰ ) ╭ 反正 我 是 不 明白 三星 Galaxy 系列 的 手机 除了 没 想象 得重 之外 还有 什么 优点 ， 价位 跟 街机 疯 差不多 耗电 也 厉害 用户 体验 也 一般 没 想象 中得 好 ， 为什么 有 这么 多人 愿意 用 三星 呢 ？ 难道 是 怀着 对 三星堆 最 原始 的 热爱 ？ 好 吧 我 承认 这',0
三,0
'手机 换回 Iphone 了 ， 可用 过 sony 和 三星 的 ， 苹果 屏幕 的 显示 精度 实在',0
'买过 一次 平安 电话 车险 ， 今年 换 了 家 别的 公司 的 。 结果 执著 的 中国 平安 的 保险 推销员 ， 不畏 讥讽 ， 死皮赖脸 的 每天 电话 骚扰 ， 周末 也 不放过 。 以后 再也 不敢 用 中国 平安 的 产品 啦 。 以后 买 保险 、 汽车 . 的 时候 ， 一',0
'卖 保险 的 真',0
'这 男人 是 真的 疼 他 老婆 ， 可恨 中',0
'奉劝 要 保险 的 和 已经 做 了 保险 的 各位 还是 选择 大 公司 吧 ， 这种 低效 恶心 的 保险公司 给 大家 带来',0
'以后 打死 也 不能 买 平安 的 保险 。 奶',0
'保险 绝大多数 都 是 骗人 的 ， 提醒',0
'等 下次 手机 签约 一定 要 签 iphone 。 三星 是 挺好用 ， 就是 电池 太不给力 了 。 现',0
'难得 大冷 的 天 我 从 床上 爬起来 跑 去 修 手机 ， 结果 尼妈 都 去 陪训 了 。 再次',0
终于,0
'三星 手机 真是太 难用 了 ！ ！ 拿 着 它 连 社交 网络 都',0
'怎么 这么久 了 还 没有 给 我 转移 档案 、 社保 、 公积金 和 商业 保',0
'买个 三星 手机 说 是 有 16g 的 内存 ， 买来 却 只',0
'坑爹 的 太平洋保险公司 ， 尼玛 。 大家 听 好 了 ， 千万别 买 它 的 保险 ， 坑蒙拐骗',0
'保险 等于 陷阱 ？ ？ ？ 太 可怕 了 ！ 还是 要 靠 自己',0
'现在 的 保险 坑爹 的 多 。   《 央视 曝 平安 车险 违规 违法 条款 》   ( 来自   条 新闻 )   http : / / t . c',0
'真 麻烦 ， 办个 保险 手续 真 他妈的 烦 。 下礼拜 再 去 吧 。 烦死 了 。   我 在 # 畅 柳园 #   http : / / t . c',0
'估计 保险公司 陪 那',0
'上周五 我爸 急 吼吼 地 电话 我要 身份证 复印件 ， 说 要 马上 投个 保险 。 幸亏 在 老翠   的 帮助 下 ， 终于 认清 了 保险 销售 忽悠 了 多少 ， 决定 不 投 了 。 诓骗 老人 的 养老 钱 ， 这些',0
'续 说 昨日 车 被 撞 事件 ， 今日 准时 到 对方 保险公司 定损 ， 那真 叫 一个 损 。 损耗 了 我 两个 多 钟头 ， 损伤 了 我 过节 的 兴致 。 总结 一下 ： 态度 冷漠 、 动作 极慢 、 手续 繁琐 。 出门 就 急 冲冲 地 对撞 我车者 大声 说 了 一句 ： “ 哥们 ， 赶',0
'阳光 保险 非常 不靠 谱 ， 不是 协助 客户 处理 事 ， 反而 是 制造 困难 。 这样',0
'TMD 我 想 不 明白 为什么 公积金 ， 社保 那些 工作人员 就 这么 牛叉 呢 ， 态度 就 这么 恶劣 呢 ？ 貌似 这些 保险 基金 都 是 公司 和 员工 的 钱 吧 ？ 不是 你家 也 不是 国家 出 的 吧 ？ 怎么 好像 我 跟 你 借钱 一样 的 态度 呢 ？ 没 这些 保险 基金 的 各位 大哥 大姐 去 哪 工作 呢',0
'千万 不要 用 三星 的 手机 ， 用过 了 三星 对 别的 手机 就 只有 一个 感觉 ： 好 小 。 而且 除了 “ 大 ”',0
'现在 的 翡翠 价格 贵 的 离谱 ， 连价 都 不敢 问 了 ， 几万 的 还有 心坎 坎 ， 十几万 的 还 有点 希望 ， 几十万 的 就 一声 “ 嗯 ， 不错 ” ， 上百万 的 “ 噢 ” 一',0
'中 美 大都会 的 保险 销售 真是 让 人 讨厌 到 无以复加 ， 从 九月初 就 打电话 骚扰 我 ， 原来 还好 是 白天',0
